Title,Price,Time,Min Age,Max Age,Min Players,Max Players,Price Scaled,Time Scaled,Min Age Scaled,Max Age Scaled,Min Players Scaled,Max Players Scaled,average,avg_rating,avgweight,baverage,geek_rating,name,numcomments,numfans,numgeeklists,numhasparts,numowned,numplays,numplays_month,numprevowned,numtrading,numwanting,numwantparts,numweights,numwish,numwishlistcomments,playmonth,rank,stddev,usersrated,views,voters
Power Grid: Russia & Japan,14,0,12,99,2,6,0.07035175879396985,0.0,0.625,1.0,0.16666666666666666,0.060606060606060615,7.9569,7.96,3.0959,6.83412,6.834,Power Grid: Russia & Japan (2010),353,23.0,233,0,4596,1794,11,129,23,123,0,73,347,80,2017-11,N/A,1.08291,1228,87007,1228
Zooloretto: the Boss,39,0,10,99,2,5,0.19597989949748745,0.0,0.5,1.0,0.16666666666666666,0.0505050505050505,7.19851,7.20,2.5,5.66186,5.662,Zooloretto Boss (2010),31,4.0,36,0,634,66,0,24,4,57,0,4,120,17,2017-11,N/A,1.18681,107,32796,107
Famiglia,11,0,10,99,2,0,0.055276381909547735,0.0,0.5,1.0,0.16666666666666666,0.0,6.52719,6.53,1.7487,6.23158,6.232,Famiglia (2010),654,60.0,733,10,3886,8709,49,549,195,63,5,191,292,80,2017-11,1369,1.27638,2587,135858,2587
Black Friday,44,0,13,99,2,5,0.22110552763819094,0.0,0.6875,1.0,0.16666666666666666,0.0505050505050505,6.60881,6.61,2.8105,6.08543,6.085,Black Friday (2010),407,42.0,725,1,1436,2889,4,264,83,70,2,95,234,53,2017-11,1740,1.48012,1184,121003,1184
Rails of New England,59,0,12,99,2,5,0.2964824120603015,0.0,0.625,1.0,0.16666666666666666,0.0505050505050505,6.58425,6.58,3.3226,5.67969,5.680,Rails of New England (2011),109,20.0,336,0,417,523,4,76,25,34,0,31,105,22,2017-11,4216,1.62532,219,67034,219
Fürstenfeld,59,0,13,99,2,5,0.2964824120603015,0.0,0.6875,1.0,0.16666666666666666,0.0505050505050505,6.53998,6.54,2.4653,6.055,6.055,Fürstenfeld (2010),331,24.0,593,1,1258,2208,5,254,91,65,0,101,235,56,2017-11,1841,1.22461,1118,83989,1118
Navegador,59,0,12,99,2,5,0.2964824120603015,0.0,0.625,1.0,0.16666666666666666,0.0505050505050505,7.58517,7.59,3.0911,7.30531,7.305,Navegador (2010),1410,248.0,1696,5,6284,13732,115,687,112,642,0,483,1864,323,2017-11,147,1.17374,6491,456320,6491
Space Alert: the New Frontier,29,0,13,99,1,5,0.1457286432160804,0.0,0.6875,1.0,0.0,0.0505050505050505,8.53517,8.54,3.3448,6.92349,6.923,Space Alert: The New Frontier (2010),330,63.0,210,0,4107,2821,9,233,62,134,1,58,490,93,2017-11,N/A,1.27423,907,127030,907
Antverpia,14,0,12,99,2,5,0.07035175879396985,0.0,0.625,1.0,0.16666666666666666,0.0505050505050505,7.39529,7.40,3,5.65146,5.651,Hamburgum: Antverpia (2010),46,5.0,43,0,539,58,0,44,15,39,0,10,64,7,2017-11,N/A,0.932001,85,19004,85
Industry,59,0,10,99,3,4,0.2964824120603015,0.0,0.5,1.0,0.3333333333333333,0.040404040404040414,7.45432,7.45,3.373,6.91113,6.911,Age of Industry (2010),837,96.0,1071,3,3093,6144,28,423,97,250,4,244,821,141,2017-11,417,1.30619,2653,301147,2653
